name,longitude,latitude,total_capacity,area_lot
Unknown,72.9594266,19.1768968,885,53770.0
Unknown,72.8479501,19.2396647,194,0.0
Unknown,72.9525028,19.16951,192,9600.0
Unknown,72.936941,19.166235,1683,116700.0
Unknown,72.944394,19.1596483,1269,99297.7
Unknown,72.9468988,19.1813617,510,25950.0
Unknown,72.9452648,19.1577008,289,16440.0
Unknown,72.9298782,19.1426186,743,47468.0
Unknown,72.9307915,19.1292046,402,19997.95
Unknown,72.8906988,19.1182027,185,8800.0
Unknown,72.9189633,19.0989283,873,45100.0
Unknown,72.8922408,19.1136352,174,21031.0
Unknown,72.917499,19.1120113,554,28720.0
Unknown,72.8565756,19.1317765,561,27939.92
Unknown,72.8445612,19.1417063,324,16710.0
Unknown,72.8326685,19.1414709,69,3450.0
Unknown,72.8285172,19.1413328,515,0.0
Unknown,72.8225142,19.1302827,144,7200.0
Unknown,72.8502502,19.1612502,73,3597.03
Unknown,72.8294929,19.0654733,195,8483.96
Unknown,72.8324043,19.0552527,92,4576.68
Unknown,72.8559688,19.153778,1023,0.0
Unknown,72.8835388,19.1078147,275,0.0
Unknown,72.8466928,19.1634857,116,0.0
Unknown,72.85325,19.1697557,306,0.0
Unknown,72.8458665,19.1695904,227,0.0
Unknown,72.8515051,19.1658299,74,0.0
Unknown,72.8612622,19.1704423,3632,190840.0
Unknown,72.844722,19.1782256,492,0.0
Unknown,72.8735593,19.1112263,250,0.0
Unknown,72.8678091,19.0723097,409,0.0
Unknown,72.8633802,19.0707271,80,0.0
Unknown,72.8642827,19.1395609,673,0.0
Unknown,72.8360793,19.0563965,102,0.0
Unknown,72.8453182,19.1151737,324,0.0
Unknown,72.8445076,19.1404455,258,0.0
Unknown,72.861983,19.1375704,292,0.0
Unknown,72.883435,19.1169977,1517,80720.0
Unknown,72.8308539,18.9740792,1280,64000.0
Unknown,72.8293991,18.9868055,847,40413.35
Unknown,72.8249928,18.9775835,1597,0.0
Unknown,72.8262401,18.9777443,923,34262.1
Unknown,72.8235487,18.9680598,836,59940.76
Unknown,72.8305104,18.9801796,100,7990.0
Unknown,72.8405161,18.9788988,1635,81510.0
Unknown,72.8283843,18.9640672,379,20450.0
Unknown,72.8356467,18.9825995,486,26280.0
Unknown,72.8146433,18.9717845,759,38790.0
Unknown,72.8146684,18.9712533,152,7600.0
Unknown,72.8214436,18.9507799,807,40990.0
Unknown,72.8241726,18.9608775,302,0.0
Unknown,72.8114927,18.9766056,235,11750.0
Unknown,72.8102249,18.9681848,204,20251.04
Unknown,72.8183029,18.9621518,160,7965.72
Unknown,72.7967095,18.9512693,58,6150.0
Unknown,72.8242368,18.9628682,332,0.0
Unknown,72.8296232,19.0042865,4565,244932.01
Unknown,72.8242105,18.9864185,385,16455.0
Unknown,72.8214244,19.0081249,803,33119.24
Unknown,72.8286533,19.0019508,3856,237033.1
Unknown,72.8327546,19.0075388,2370,108396.93
Unknown,72.8213296,18.9991927,900,0.0
Unknown,72.8308884,18.9940387,493,24616.74
Unknown,72.8232844,19.0080746,701,34762.4
Unknown,72.8307687,19.0105802,2500,89496.48
Unknown,72.8349573,19.0098719,1317,90437.56
Unknown,72.8425886,19.0242726,1008,52136.02
Unknown,72.8468394,19.0370115,218,10900.0
Unknown,72.8302085,19.0190489,172,8600.0
Unknown,72.8422525,18.9982123,1065,0.0
Unknown,72.8493366,18.997395,197,10315.0
Unknown,72.8479491,18.9928869,277,17495.0
Unknown,72.840489,18.9914059,700,65663.08
Unknown,72.8385937,18.9895509,1242,26378.5
Unknown,72.8674313,19.0433807,247,10678.72
Unknown,72.867391,19.0226391,658,45170.0
Unknown,72.8501629,19.0204018,103,5150.0
Unknown,72.8522069,19.0282504,231,11700.0
Unknown,72.835848,19.0139942,212,10568.62
Unknown,72.8189418,18.9983713,332,0.0
Unknown,72.831956,19.0651161,142,7072.38
Unknown,72.8279502,18.976766,180,0.0
Unknown,72.9594266,19.1768968,885,53770.0
Unknown,72.8479501,19.2396647,194,0.0
Unknown,72.9525028,19.16951,192,9600.0
Unknown,72.936941,19.166235,1683,116700.0
Unknown,72.831792,18.9725172,1280,64000.0
Unknown,72.9525028,19.16951,192,9600.0
Unknown,72.936941,19.166235,1683,116700.0
